species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. carletoni,BJ60_2017,40.47,98,132,90,138,258,93,70,1200,317,186,131,267,240,268,240,1540,398,14,108,1014,50,714,55,PL1_Pool3_12_BJ60_2017
E. carletoni,C1_2012,40.82,71,136,95,215,250,95,72,1264,310,179,131,262,239,262,232,1410,335,17,98,871,70,871,71,PL1_PoolX_C1_2012
E. carletoni,C15_2012,44.87,104,170,130,271,250,95,72,1254,309,178,131,261,239,261,232,1411,332,18,97,867,72,867,79,PL1_Pool1_22_C15_2012
E. carletoni,C25_2012,43.76,108,85,98,271,250,95,72,1254,309,178,131,261,239,261,232,1411,332,18,97,867,72,867,79,PL1_Pool2_C25_C_18
E. carletoni,C26_2012,45.5,91,176,90,280,241,97,73,1290,301,169,132,253,229,253,222,1401,326,17,97,857,69,844,72,PL1_Pool2_C26_C_27
E. carletoni,C27_2012,45.85,103,174,85,271,250,95,72,1254,309,178,131,261,239,261,232,1411,332,18,97,867,72,867,79,PL1_Pool1_31_C27_2012
E. carletoni,C28_2012,46.88,100,158,95,271,250,95,72,1254,309,178,131,261,239,261,232,1411,332,18,97,867,72,867,79,PL1_Pool2_12_C28_2012
E. carletoni,C29_2012,42,88,147,65,215,250,95,72,1264,310,179,131,262,239,262,232,1410,335,17,98,871,70,871,71,PL1_Pool2_C29_C_38
E. carletoni,C34_2012,43.86,115,166,100,406,238,98,72,1313,300,165,135,250,227,250,219,1420,330,16,97,871,67,871,75,PL1_Pool2_C34_C_16
E. carletoni,C35_2012,42.56,101,175,92,397,238,98,73,1326,299,165,134,250,227,250,219,1411,328,16,97,865,67,854,75,PL1_Pool2_C35_C_3
E. carletoni,C35_2013,40.6,92,133,60,409,232,94,70,1611,294,161,133,249,216,249,209,1444,234,40,59,679,168,650,176,PL1_Pool1_28_C35_2013
E. carletoni,C39_2012,40.72,76,168,140,491,234,99,73,1342,295,160,135,246,221,246,214,1413,326,16,97,864,67,853,69,PL1_Pool2_41_C39_2012
E. carletoni,C40_2012,40.53,65,148,120,491,234,99,73,1342,295,160,135,246,221,246,214,1413,326,16,97,864,67,853,69,PL1_Pool1_29_C40_2012
E. carletoni,C43_2012,42.75,90,175,120,491,234,99,73,1342,295,160,135,246,221,246,214,1413,326,16,97,864,67,853,69,PL1_Pool3_8_C43_2012
E. carletoni,C48_2012,40.02,99,125,140,417,234,99,73,1321,295,160,135,246,222,246,214,1408,324,16,97,859,67,848,76,PL1_Pool2_29_C48_2012
E. carletoni,C54_2012,36.62,61,120,85,397,238,98,73,1326,299,165,134,250,227,250,219,1411,328,16,97,865,67,854,75,PL1_PoolX_C54_2012
E. carletoni,C61_2012,43.59,97,175,91,331,244,97,72,1289,304,171,133,255,232,255,225,1418,335,16,98,876,67,866,69,PL1_Pool1_C61_A_1
