Gen	np	tree	tau_4EminEmyoxEsp	lnL
46900	2	11	0.001136	0.000616	-2521452.905
47000	2	11	0.001163	0.000613	-2521672.748
47100	2	11	0.001134	0.000627	-2521492.455
47200	2	11	0.001143	0.000615	-2521534.601
47300	2	11	0.001152	0.000616	-2521511.372
47400	2	11	0.001160	0.000594	-2521621.774
47500	2	11	0.001158	0.000637	-2521568.247
47600	2	11	0.001154	0.000595	-2521380.742
47700	2	11	0.001182	0.000616	-2521516.793
47800	2	11	0.001134	0.000606	-2521369.108
47900	2	11	0.001143	0.000638	-2521519.951
48000	2	11	0.001160	0.000613	-2521709.010
48100	2	11	0.001137	0.000599	-2521403.032
48200	2	11	0.001148	0.000579	-2521623.401
48300	2	11	0.001171	0.000609	-2521453.179
48400	2	11	0.001143	0.000591	-2521318.284
48500	2	11	0.001126	0.000612	-2521506.196
48600	2	11	0.001108	0.000601	-2521498.999
48700	2	11	0.001095	0.000588	-2521395.464
48800	2	11	0.001113	0.000613	-2521382.024
48900	2	11	0.001119	0.000590	-2521519.251
49000	2	11	0.001123	0.000594	-2521462.777
49100	2	11	0.001130	0.000614	-2521627.406
49200	2	11	0.001107	0.000619	-2521342.347
49300	2	11	0.001148	0.000621	-2521484.883
49400	2	11	0.001154	0.000618	-2521653.662
49500	2	11	0.001112	0.000593	-2521446.764
49600	2	11	0.001080	0.000594	-2521517.442
49700	2	11	0.001117	0.000591	-2521392.434
49800	2	11	0.001147	0.000602	-2521577.902
49900	2	11	0.001111	0.000616	-2521368.354
50000	2	11	0.001129	0.000625	-2521414.101
50100	2	11	0.001116	0.000597	-2521504.270
50200	2	11	0.001113	0.000593	-2521376.233
50300	2	11	0.001127	0.000609	-2521502.677
50400	2	11	0.001100	0.000607	-2521388.142
50500	2	11	0.001093	0.000628	-2521439.086
50600	2	11	0.001127	0.000613	-2521408.738
50700	2	11	0.001149	0.000582	-2521488.035
50800	2	11	0.001166	0.000599	-2521466.393
50900	2	11	0.001142	0.000609	-2521495.502
51000	2	11	0.001099	0.000620	-2521299.240
51100	2	11	0.001134	0.000606	-2521555.861
51200	2	11	0.001110	0.000598	-2521307.058
51300	2	11	0.001120	0.000599	-2521562.497
51400	2	11	0.001135	0.000595	-2521488.639
51500	2	11	0.001140	0.000605	-2521475.804
51600	2	11	0.001147	0.000619	-2521447.253
51700	2	11	0.001132	0.000628	-2521506.221
51800	2	11	0.001124	0.000591	-2521494.445
51900	2	11	0.001164	0.000607	-2521426.213
52000	2	11	0.001112	0.000620	-2521370.027
52100	2	11	0.001124	0.000620	-2521453.361
52200	2	11	0.001134	0.000609	-2521386.644
52300	2	11	0.001145	0.000656	-2521630.815
52400	2	11	0.001115	0.000616	-2521512.197
52500	2	11	0.001127	0.000627	-2521530.277
52600	2	11	0.001118	0.000617	-2521475.042
52700	2	11	0.001125	0.000635	-2521548.169
52800	2	11	0.001172	0.000580	-2521489.864
52900	2	11	0.001173	0.000618	-2521675.390
53000	2	11	0.001114	0.000608	-2521648.904
53100	2	11	0.001148	0.000628	-2521604.308
