id_seq,id,latitude,longitude,species,site
PL1_PoolX_H49_2011,H49_2011,-13.20529,49.5632,E. myoxinus,ANTSB
PL1_Pool3_38_BK61_2018,BK61_2018,-14.24036,49.65551,E. myoxinus,BEAMA
PL1_Pool1_C11_D_1,C11_2013,-13.5493,49.9002,E. myoxinus,BEZ
PL1_Pool2_C58_2013_C_14,C58_2013,-13.56158,49.90219,E. myoxinus,BEZ
PL1_Pool2_C71_2013_C_36,C71_2013,-13.54106,49.89734,E. myoxinus,BEZ
PL1_Pool2_C81_2013_D_8,C81_2013,-13.56176,49.88984,E. myoxinus,BEZ
PL1_Pool2_C86_2013_D_7,C86_2013,-13.54959,49.87882,E. myoxinus,BEZ
PL1_Pool1_16_C65_2013,C65_2013,-13.55727,49.89144,E. myoxinus,BEZ
PL1_Pool1_25_C74_2013,C74_2013,-13.56113,49.88044,E. myoxinus,BEZ
PL1_Pool2_37_C13_2013,C13_2013,-13.54764,49.89351,E. myoxinus,BEZ
PL1_PoolX_C10_2013,C10_2013,-13.55535,49.90294,E. myoxinus,BEZ
PL1_Pool2_K49_2011_B_4,K49_2011,-13.30689,49.6152,E. myoxinus,BIN
PL1_Pool2_K51_2011_B_5,K51_2011,-13.30352,49.61385,E. myoxinus,BIN
PL1_Pool2_K64_2011_B_8,K64_2011,-13.29461,49.60644,E. myoxinus,BIN
PL1_Pool2_K66_2011_B_9,K66_2011,-13.29059,49.60685,E. myoxinus,BIN
PL1_Pool1_35_J63_2011,J63_2011,-13.27448,49.61932,E. myoxinus,BIN
PL1_Pool1_1_BE78_2017,BE78_2017,-13.262,49.60656,E. myoxinus,BIN
PL1_Pool1_20_BF20_2017,BF20_2017,-13.27454,49.60973,E. myoxinus,BIN
PL1_Pool1_22_BF42_2017,BF42_2017,-13.28253,49.61072,E. myoxinus,BIN
PL1_Pool1_9_BF74_2017,BF74_2017,-13.28754,49.59848,E. myoxinus,BIN
PL1_Pool2_14_BE74_2017,BE74_2017,-13.25642,49.61669,E. myoxinus,BIN
PL1_Pool2_45_BF12_2017,BF12_2017,-13.25,49.60391,E. myoxinus,BIN
PL1_Pool2_48_BE73_2017,BE73_2017,-13.25599,49.61716,E. myoxinus,BIN
PL1_Pool3_10_BF60_2017,BF60_2017,-13.24959,49.59492,E. myoxinus,BIN
PL1_PoolX_J60_2011,J60_2011,-13.27434,49.61935,E. myoxinus,BIN
PL1_PoolX_J61_2011,J61_2011,-13.27654,49.61769,E. myoxinus,BIN
PL1_Pool2_G25_2015_D_4,G25_2015,-13.45426,49.57154,E. myoxinus,KABE
PL1_Pool2_G33_2015_D_20,G33_2015,-13.46074,49.57759,E. myoxinus,KABE
PL1_Pool2_G36_2015_D_19,G36_2015,-13.46923,49.57722,E. myoxinus,KABE
PL1_Pool1_5_G10_2015,G10_2015,-13.4575,49.57499,E. myoxinus,KABE
PL1_PoolX_G16_2015,G16_2015,-13.46377,49.57531,E. myoxinus,KABE
PL1_PoolX_G6_2015,G6_2015,-13.46135,49.56617,E. myoxinus,KABE
PL1_Pool2_B105_2013_C_19,B105_2013,-13.44051,49.71204,E. myoxinus,SAL
PL1_Pool2_B76_2013_C_27,B76_2013,-13.45026,49.70363,E. myoxinus,SAL
PL1_Pool2_B82_2013_C_28,B82_2013,-13.44596,49.71053,E. myoxinus,SAL
PL1_Pool2_B88_2013_C_38,B88_2013,-13.43074,49.70722,E. myoxinus,SAL
PL1_Pool1_39_B74_2013,B74_2013,-13.44904,49.70458,E. myoxinus,SAL
PL1_Pool2_20_B39_2013,B39_2013,-13.44602,49.72255,E. myoxinus,SAL
PL1_Pool2_5_B38_2013,B38_2013,-13.43833,49.71868,E. myoxinus,SAL
PL1_Pool2_8_B36_2013,B36_2013,-13.43931,49.71955,E. myoxinus,SAL
PL1_Pool3_29_B81_2013,B81_2013,-13.44763,49.70726,E. myoxinus,SAL
PL1_Pool2_K60_2011_B_7,K60_2011,-13.09044,49.57916,E. myoxinus,SOL
PL1_Pool1_D37_D_15,D37_2012,-13.1161,49.20868,E. myoxinus,TSAKA
PL1_Pool1_D75_B_15,D75_2012,-13.11674,49.23788,E. myoxinus,TSAKA
PL1_Pool2_D57_A_28,D57_2012,-13.11734,49.18981,E. myoxinus,TSAKA
PL1_Pool1_28_D41_2012,D41_2012,-13.12453,49.21959,E. myoxinus,TSAKA
PL1_Pool1_32_D68_2012,D68_2012,-13.11274,49.24455,E. myoxinus,TSAKA
PL1_Pool3_22_D25_2012,D25_2012,-13.11766,49.21157,E. myoxinus,TSAKA
PL1_PoolX_D70_2012,D70_2012,-13.11866,49.19328,E. myoxinus,TSAKA
PL1_PoolX_D79_2012,D79_2012,-13.11718,49.23765,E. myoxinus,TSAKA
PL1_PoolX_P72_2012,P72_2012,-13.1085,49.24591,E. myoxinus,TSAKA
PL1_Pool2_F10_E_11,F10_2015,-13.65424,49.56038,E. minor,AMBA
PL1_Pool2_F14_C_19,F14_2015,-13.65156,49.54607,E. minor,AMBA
